Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,Score,mood
1506,3bMQUvGEAib8rYvKWWKu9m,Ikebe Shakedown,Stone by Stone,Dram,50,243693,False,0.595,0.765,6,-8.626,0,0.0574,0.056,0.851,0.169,0.736,149.58,4,afrobeat,19,Happy
1203,38hOrmc7D0YqWZ2QYdxgK2,Limoblaze;Emandiong,Desire,Desire,49,204521,False,0.699,0.858,11,-6.603,0,0.089,0.0332,0.000204,0.0978,0.432,115.113,4,afrobeat,20,Happy
1872,3mNtJ94LS5gTrclSCE9w9r,Ebo Taylor;Pat Thomas;Henrik Schwarz,Ene Nyame (Henrik Schwarz Blend),Eye Nyam Nam 'A' Mensuro - Henrik Schwarz Blend,49,563866,False,0.761,0.626,5,-12.634,1,0.0421,0.0172,0.634,0.0879,0.715,124.024,4,afrobeat,20,Happy
1751,5aJI7OzC1n3XKVLgYAxgwj,Bacao Rhythm & Steel Band,55,PIMP,49,194972,False,0.672,0.858,3,-5.233,0,0.145,0.456,0.811,0.104,0.963,166.689,4,afrobeat,19,Happy
1866,6DBqULxLjq66GX2dim7opR,Lack Of Afro,Press On,The Outsider,49,227346,False,0.681,0.838,0,-6.538,1,0.0797,0.0874,0.49,0.348,0.456,112.608,4,afrobeat,19,Happy
1455,4Ic3yQiH5UmyyevTsp08tY,Akalé Wubé;Manu Dibango,Sost,Anbessa,49,221720,False,0.82,0.473,10,-7.3,0,0.0454,0.293,0.861,0.136,0.645,120.066,4,afrobeat,18,Happy
1602,7t6NlBZL2MmNjcF70Xl71G,El Michels Affair;Lee Fields;The Shacks,Return To The 37th Chamber,Tearz,49,151926,False,0.75,0.382,8,-8.466,1,0.0312,0.29,0.298,0.279,0.454,97.226,4,afrobeat,18,Happy
1267,2oWex6rYoQ7Bl2D9zG8d3F,Fela Kuti,The Best of the Black President,Water No Get Enemy,48,591693,False,0.641,0.926,10,-7.718,0,0.0572,0.11,0.0246,0.09,0.883,90.934,4,afrobeat,21,Happy
1851,2WaesAINqa4dKnLVu8JQKS,The Dynamics,Disco Reggae,Move on Up,48,292571,False,0.845,0.769,11,-7.838,0,0.036,0.146,0.355,0.0917,0.969,145.985,4,afrobeat,21,Happy
1024,098WwIoAtjDQwcpuEHAlrr,Criolo,Sobre Viver,Pretos Ganhando Dinheiro Incomoda Demais,48,198920,False,0.637,0.715,0,-7.032,0,0.074,0.0518,4.65e-05,0.122,0.347,109.859,4,afrobeat,18,Happy
1465,6K8y9WcUbgv0j7RGceHvym,Tony Allen,Afrobeat Makers (Tony Allen Rhythms Revisited),Ikeja Roads,48,160948,False,0.777,0.598,2,-13.803,0,0.0412,0.023,0.89,0.106,0.684,100.007,4,afrobeat,18,Happy
1950,5z4Yope4ol84bdZtw1Eo4D,Monophonics;Kelly Finnigan,It's Only Us,It's Only Us,48,298973,False,0.477,0.615,0,-6.504,0,0.026,0.482,0.0308,0.644,0.472,86.472,4,afrobeat,18,Happy
1459,6tkSDxoNHMQ6eoeJGB2Q22,Cymande,Cymande,Bra,47,306360,False,0.676,0.769,7,-10.142,1,0.0535,0.00545,0.0256,0.131,0.891,117.733,4,afrobeat,20,Happy
1904,59vZs9bJrEpBQHuK1M3tmS,The Bamboos;Washington,Medicine Man,The Wilhelm Scream,47,268040,False,0.565,0.621,7,-5.62,1,0.0264,0.00773,0.0324,0.257,0.403,150.036,4,afrobeat,20,Happy
1952,1wlPuhYpOJRPHVUeizRdx2,Monophonics,Sound of Sinning,La La La Love Me,47,200600,False,0.546,0.54,6,-5.879,0,0.0288,0.0292,0.0,0.11,0.453,87.967,3,afrobeat,19,Happy
1010,0pY5jjQucjJg3pqAbHhGkW,Criolo,Nó na Orelha,Sucrilhos,46,240226,False,0.788,0.574,0,-9.068,1,0.319,0.0626,0.0,0.203,0.764,160.027,4,afrobeat,21,Happy
1036,6gUUERbRME9MKaAMIAa1I3,Juanafé,La Makinita,Chiquitita,46,284875,False,0.715,0.556,9,-6.102,1,0.0453,0.667,0.0,0.132,0.902,87.973,4,afrobeat,19,Happy
1003,7gVNP7rI9UBZndge0ulKfL,Criolo,Nó na Orelha,Lion Man,46,205440,False,0.582,0.66,7,-4.988,0,0.0544,0.399,0.0,0.127,0.484,83.789,4,afrobeat,18,Happy
1454,5r2cbcTE0HhvRO2avP8GAh,Rex Williams,Nigeria 70 - Lagos Jump,You Are My Heart,46,193000,False,0.675,0.681,7,-7.458,1,0.0364,0.481,0.0232,0.225,0.604,97.442,4,afrobeat,18,Happy
1808,174aZteQew30wcq8sPzlW6,Ikebe Shakedown,Stone by Stone,Rio Grande,46,230986,False,0.445,0.605,11,-7.509,0,0.0304,0.25,0.76,0.321,0.692,162.588,4,afrobeat,18,Happy
1951,1lDELORqnHLLTe1bYmHLq7,Whitefield Brothers,Earthology,Safari Strut,46,199572,False,0.677,0.862,5,-5.016,1,0.0536,0.416,0.859,0.0967,0.902,109.965,4,afrobeat,18,Happy
1356,1FhP3mymDoN2hX5p57uTnu,Lijadu Sisters,Horizon Unlimited,Come on Home,45,318785,False,0.537,0.501,7,-11.22,1,0.093,0.0684,0.00366,0.0753,0.914,93.849,4,afrobeat,20,Happy
1857,6MMXwZyjQhw6HaIwFGW0JI,Girma Bèyènè;Akalé Wubé,Mistakes on Purpose (Ethiopiques 30),Enkèn Yèlélèbesh,45,238440,False,0.74,0.492,5,-8.72,0,0.0366,0.589,0.000796,0.119,0.893,128.648,4,afrobeat,20,Happy
1030,3EYGVS7euI1GTiYkKBOSfk,Juanafé,La Makinita,Tengo Luquita,45,223600,False,0.526,0.711,6,-4.373,0,0.0465,0.585,0.0,0.0728,0.651,176.27,4,afrobeat,19,Happy
1150,3lZqJ8lyCWUobZLJ0vIr0w,CalledOut Music,Thank You Lord,Thank You Lord,45,133053,False,0.714,0.44,2,-10.676,1,0.0953,0.319,0.000148,0.0685,0.532,91.997,4,afrobeat,18,Happy
1304,1ETZhP9orTkDclKEyt0xqm,William Onyeabor,World Psychedelic Classics 5: Who Is William Onyeabor?,Fantastic Man,45,386160,False,0.7,0.756,2,-10.714,1,0.0575,0.00182,0.711,0.0575,0.944,114.28,4,afrobeat,18,Happy
1028,633yLLOTvQTEdvDD4XVnsw,Criolo,Espiral de Ilusão,Menino Mimado,44,227640,False,0.83,0.604,0,-5.25,0,0.0355,0.563,0.00108,0.221,0.82,144.008,4,afrobeat,21,Happy
1606,6G2M6vvToPz12ghZpeJSGe,William Onyeabor;Hot Chip,What?!,Atomic Bomb - William Onyeabor vs. Hot Chip,44,436236,False,0.834,0.56,8,-10.062,0,0.0439,0.0145,0.282,0.446,0.78,125.798,4,afrobeat,21,Happy
1702,5rJSFuBV3QBGTrywHJt5sA,Manu Dibango,African Voodoo,Coconut,44,131045,False,0.652,0.84,7,-7.198,0,0.0305,0.145,0.136,0.0468,0.955,113.623,4,afrobeat,21,Happy
1901,6yM82PxMywRHehdoQgQT8p,Bola Johnson,Man No Die,Lagos Sisi,44,203040,False,0.718,0.626,10,-9.049,0,0.0604,0.147,0.00207,0.0994,0.662,107.288,4,afrobeat,20,Happy
1250,2Pu5TsQ90hDVUZmuNDnzJc,Prinx Emmanuel;Grace Lokwa,Kumama Papa (Tiktok refix version),Kumama Papa - Tiktok refix version,44,124840,False,0.631,0.502,5,-10.195,1,0.242,0.835,3.75e-05,0.155,0.776,156.183,4,afrobeat,19,Happy
1804,44kT6XsCkSGb9wNQ5qGXvg,Jungle Fire,Tropicoso,Comencemos (Let's Start),44,152600,False,0.666,0.903,0,-6.462,1,0.0456,0.23,0.616,0.151,0.913,111.84,4,afrobeat,19,Happy
1001,4Ds4bq6aqOSAp1T7DikOi4,Criolo,Ainda Há Tempo,Ainda Há Tempo,44,318360,False,0.58,0.8,6,-7.528,1,0.345,0.281,0.0,0.0708,0.483,81.303,4,afrobeat,18,Happy
1004,1hLvWelTny8vttEEZIXVjw,Criolo,Espiral de Ilusão,Espiral de Ilusão,44,220800,False,0.776,0.314,2,-9.513,1,0.034,0.881,0.000723,0.139,0.476,124.055,4,afrobeat,18,Happy
1018,3KYbhVPCxYHIeZg8Zy07ay,Criolo;Emicida;Mano Brown,Criolo E Emicida Ao Vivo (Live),Vida Loka I - Live,44,271840,False,0.434,0.877,8,-5.945,0,0.247,0.849,0.0,0.653,0.662,82.109,4,afrobeat,18,Happy
1009,00LmM2QLGpfb5NC7PC7qqZ,Criolo,Ainda Há Tempo,Vasilhame,43,172440,False,0.506,0.876,2,-5.877,0,0.316,0.194,1.86e-06,0.353,0.676,124.218,5,afrobeat,20,Happy
1400,6lnXNuAixFoNuoEe2dXb6d,Limoblaze;Marizu,Afrobeats Rap and Jesus,For Me,43,194063,False,0.728,0.719,2,-4.201,0,0.0459,0.477,0.0,0.0713,0.719,107.95,4,afrobeat,20,Happy
1553,1dxYM3qSzXe2O2RJ3rK3KI,El Michels Affair;Piya Malik,Yeti Season (Deluxe Version),Unathi,43,213749,False,0.524,0.65,4,-7.307,0,0.0415,0.0954,0.00655,0.126,0.826,107.493,4,afrobeat,20,Happy
1005,660JNfrBV1K41iYGOh7ClC,Criolo,Sobre Viver,Yemanjá Chegou,43,258359,False,0.711,0.515,2,-8.238,0,0.0514,0.679,0.000324,0.0971,0.679,90.91,4,afrobeat,18,Happy
1458,4rEp8rVONwpPNdFyYzRw0H,Limoblaze;Dj Horphuray,Afrobeats Rap and Jesus,Your Love,42,224208,False,0.795,0.719,6,-4.791,1,0.0642,0.115,0.0051,0.0525,0.958,110.02,4,afrobeat,21,Happy
1015,0VSuq0KNSy1nOBO47e1bCN,Criolo;MC Hariel;Liniker;Maria Vilani;Jaques Morelenbaum,Sobre Viver,Pequenina,42,273973,False,0.606,0.6,7,-7.785,1,0.139,0.0469,0.0,0.327,0.529,159.971,4,afrobeat,20,Happy
1031,5Xv3XHAt8gkT6hVDXZGcuG,Criolo,Viva Tim Maia,Primavera (Vai Chuva),41,244533,False,0.573,0.859,9,-4.346,1,0.0473,0.108,3.04e-05,0.0779,0.521,147.906,4,afrobeat,21,Happy
1502,6GL0fX7lcTWiWqdCocOLk7,Eben,Victory,Victory,41,230505,False,0.751,0.697,2,-3.45,1,0.111,0.372,0.0,0.149,0.879,125.924,4,afrobeat,21,Happy
1006,0tsjEf663ZNWGlIqY2c0Ms,Criolo;Rael,Ainda Há Tempo,Tô Pra Ver,41,254520,False,0.637,0.818,8,-6.851,1,0.281,0.19,0.0,0.102,0.599,90.571,4,afrobeat,20,Happy
1022,3hhC43A13GnvLnvhSXemhN,Criolo,Nó na Orelha,Mariô,41,217400,False,0.763,0.577,10,-7.085,0,0.125,0.0875,0.00163,0.101,0.658,90.015,4,afrobeat,20,Happy
1029,31RfYWiC3WcExsZtqDMvdS,Criolo,Sobre Viver,Aprendendo a Sobreviver,41,212826,False,0.817,0.619,5,-6.922,0,0.0542,0.263,0.00317,0.0889,0.614,103.041,4,afrobeat,20,Happy
1032,2e1FJPgVRQZFT53QKUR7BD,Criolo;Emicida,Criolo E Emicida Ao Vivo (Live),A Cada Vento - Live,41,243373,False,0.651,0.861,11,-6.625,0,0.109,0.43,0.0,0.981,0.8,98.474,4,afrobeat,20,Happy
1505,3RZoPvPHZsPTTc94DfWSCL,Fela Kuti,Zombie,Zombie,41,745653,False,0.672,0.942,2,-5.145,0,0.186,0.386,0.0142,0.384,0.574,131.45,4,afrobeat,20,Happy
1034,0gKBYJ8xmhWjpBzlPPKUoj,Criolo,Espiral de Ilusão,Nas Águas,41,235560,False,0.753,0.653,5,-5.511,1,0.0508,0.76,8.56e-06,0.0756,0.706,115.802,4,afrobeat,19,Happy
1551,6vxVWANYDzpoWJcF4vVbr2,Eben,Victory,Jesus at the Centre,41,369529,False,0.489,0.557,7,-6.027,1,0.0379,0.0329,0.0,0.208,0.11,135.907,4,afrobeat,19,Happy
1700,3NBweAfNWhU9Zu1xDLHAR8,Kutiman;Dekel,My Everything,My Everything,41,238577,False,0.594,0.552,7,-5.97,0,0.0254,0.105,0.000816,0.1,0.52,110.038,4,afrobeat,19,Happy
1014,7cAxwshLN1yidrBlDePrYW,Criolo,Ainda Há Tempo,É o Teste,41,279720,False,0.66,0.728,10,-6.177,0,0.337,0.178,0.0,0.0516,0.594,91.101,4,afrobeat,18,Happy
1035,3A4Y4uYIIt7VoSugv1OELL,Criolo,Convoque Seu Buda,Plano de Voo,41,218880,False,0.571,0.69,8,-8.18,0,0.542,0.299,0.0,0.103,0.228,155.991,4,afrobeat,18,Happy
1809,3PBZeQmbywJVKdlRBzSg2C,The Shaolin Afronauts,"The Fundamental Nature of Being, Part One","Abyssinian Suite, Pt. 4",41,292228,False,0.526,0.762,11,-12.783,0,0.0401,0.0183,0.511,0.0664,0.867,110.086,4,afrobeat,18,Happy
1012,0J4hFHpfCAlJOdrtcm04vz,Criolo,Ainda Há Tempo,Breaco,40,177240,False,0.619,0.781,1,-6.548,1,0.333,0.148,0.0,0.183,0.728,182.026,4,afrobeat,20,Happy
1350,03UnPfDS0FvZzi0Z3I7yue,Limoblaze;Ada Ehi,Okay,Okay,40,155468,False,0.787,0.751,6,-5.288,1,0.0621,0.394,0.000193,0.11,0.834,105.003,4,afrobeat,20,Happy
1750,1B6d6tSoQTZyYalEFVu86p,Eben;Nathaniel Bassey,No One Like You,No One Like You,40,317675,False,0.652,0.529,10,-5.761,1,0.0464,0.357,2.05e-05,0.235,0.488,129.861,4,afrobeat,19,Happy
1049,5uCb2bQ9HcCY3c7kLq4Iur,Jackie Mittoo,The Keyboard King at Studio One,Darker Shade of Black,40,194293,False,0.689,0.564,6,-7.276,1,0.126,0.149,0.941,0.0909,0.758,87.474,4,afrobeat,18,Happy
1802,2WcN7sgqqFNZMiMEeLvE3A,TB1,Thank You,Thank You,39,235826,False,0.775,0.808,1,-2.038,0,0.0465,0.113,0.0,0.0628,0.912,115.011,4,afrobeat,21,Happy
1011,3ARDVYRmYJx1FrvR9Zlwp2,Criolo,Ainda Há Tempo,Chuva Ácida,39,180000,False,0.708,0.782,9,-6.419,1,0.284,0.0507,0.0,0.251,0.717,94.038,4,afrobeat,20,Happy
1039,2zQt5C0AIv27RhfJCRZdZ4,BaianaSystem,Duas Cidades,"Jah Jah Revolta, Pt. 2",39,309493,False,0.776,0.8,8,-4.704,0,0.0438,0.00631,0.0731,0.35,0.583,143.989,4,afrobeat,20,Happy
1870,78U7dsruM76CzAnTSZ4npT,The Funkees,Dancing Time: The Best of Eastern Nigeria's Afro Rock Exponents 1973-77,Akula Owu Onyeara,39,448914,False,0.701,0.702,5,-10.323,0,0.122,0.525,0.0486,0.235,0.885,110.721,4,afrobeat,19,Happy
1013,3BGxXQJWeLAEcwNKRFUxYA,BaianaSystem;BNegão,ATO 1: Navio Pirata,Reza Forte,38,232826,False,0.844,0.915,0,-4.06,0,0.129,0.393,0.00238,0.0847,0.872,145.997,4,afrobeat,21,Happy
1017,1SV0orNlJMONEKfQ9QEUrh,Criolo,Ainda Há Tempo,Até Me Emocionei,38,175800,False,0.772,0.789,4,-7.159,0,0.298,0.101,0.0,0.0575,0.549,84.96,4,afrobeat,19,Happy
1202,5QbdIj9omsOxwpkZXGWDTU,CalledOut Music,Shout to the Lord,Shout to the Lord,38,158000,False,0.599,0.499,11,-14.386,1,0.196,0.105,0.0,0.0986,0.765,159.915,4,afrobeat,19,Happy
1352,3VDMcm2WqOQdNpzLqlbp9B,Nero X,Yawa Dey,Yawa Dey,38,260220,False,0.858,0.634,9,-5.085,1,0.0498,0.406,0.0,0.0697,0.824,105.018,4,afrobeat,19,Happy
1040,4kSYNMfWnruGsc9knR15xV,BaianaSystem,Duas Cidades,Dia da Caça,38,269986,False,0.486,0.867,1,-5.237,1,0.0892,0.129,0.00176,0.0731,0.358,109.003,4,afrobeat,18,Happy
1025,3AJ0MFDt4OSknQ5D9Jlo4l,Criolo,Nó na Orelha,Samba Sambei,37,222560,False,0.87,0.737,11,-8.372,1,0.126,0.268,0.00369,0.0504,0.952,136.07,4,afrobeat,21,Happy
1019,1YuVO6AipAn5U1VoG1RBGN,Criolo,Ainda Há Tempo,Demorô,37,138480,False,0.755,0.709,1,-5.066,0,0.289,0.0528,0.0,0.0825,0.657,140.989,4,afrobeat,20,Happy
1038,1NF3eG2IpxKzR3jqMdR60O,Criolo,Espiral de Ilusão,Hora da Decisão,37,248520,False,0.731,0.575,9,-6.252,0,0.041,0.703,0.0,0.121,0.704,143.986,4,afrobeat,19,Happy
1042,6nFxTIa7abSSk8GzZFO1zB,Criolo,Convoque Seu Buda,Pegue Pra Ela,37,265200,False,0.611,0.738,4,-7.341,0,0.0443,0.142,0.00837,0.0575,0.725,119.791,4,afrobeat,19,Happy
1023,4dr8LN0s4WhnLLTzfsZkj5,Criolo;Emicida;Evandro Fióti,Criolo E Emicida Ao Vivo (Live),Só Mais Uma Noite - Live,37,188666,False,0.518,0.918,4,-5.548,0,0.276,0.325,0.0,0.79,0.62,98.777,4,afrobeat,18,Happy
1046,4BKI37hGrod94ofXtVycYL,Criolo,Espiral de Ilusão,Calçada,37,206760,False,0.817,0.771,5,-5.132,1,0.087,0.704,0.0,0.0885,0.76,111.099,4,afrobeat,18,Happy
1070,1aAhNjAqKqUFQ93uesAytf,BaianaSystem;Cássia Eller,O Segundo Sol,O Segundo Sol,37,148905,False,0.383,0.711,0,-8.113,1,0.0671,0.174,0.000572,0.16,0.432,137.036,4,afrobeat,18,Happy
1033,2anpZSamsEnNY7v1ScOkhJ,Samuca e a Selva,Madurar,Detergente,36,327836,False,0.721,0.741,0,-6.597,1,0.0354,0.441,0.00849,0.0775,0.977,131.001,4,afrobeat,20,Happy
1085,6LcDgsJUPj70eb0NONh5q6,BaianaSystem,Duas Cidades,Bala na Agulha,36,247000,False,0.688,0.864,10,-4.957,0,0.151,0.269,0.000172,0.0357,0.667,180.052,4,afrobeat,20,Happy
1045,0Hr2RaY7XnE0Qj7ljHGfMw,Criolo,Espiral de Ilusão,Boca Fofa,36,140280,False,0.717,0.784,6,-5.138,0,0.0353,0.73,0.0126,0.0851,0.978,168.146,4,afrobeat,19,Happy
1902,2yBjFF19OmukrC7deP7LfZ,Fela Kuti;Afrika 70,Expensive Shit,Expensive Shit,36,793200,False,0.612,0.876,5,-7.668,0,0.11,0.22,0.399,0.0863,0.677,123.866,4,afrobeat,19,Happy
1054,31p1i3XDY9W8ORcDXmA17Q,BaianaSystem,Invisível,Invisível,36,195040,False,0.725,0.618,9,-9.842,0,0.046,0.325,0.000133,0.384,0.479,112.681,5,afrobeat,18,Happy
1056,3Nb27pwwcFmJhP6INhri4z,BaianaSystem;Orquestra Afrosinfônica,Fogo (Versão Estendida),Fogo (Versão Estendida),36,250354,False,0.455,0.738,7,-6.826,0,0.0358,0.161,0.0678,0.0996,0.335,125.351,5,afrobeat,18,Happy
1800,0gGslfeZ5GjK19VcS82Sqa,Kutiman,Mix Tel Aviv,Mix Tel Aviv,36,277438,False,0.751,0.688,0,-8.023,1,0.0436,0.102,0.84,0.0799,0.403,120.96,4,afrobeat,18,Happy
1057,0seSNElilcmQH2T0gY5zyY,BaianaSystem;Makavelli;Jaymitta,ATO 1: Navio Pirata,Nauliza,35,220670,False,0.618,0.945,4,-4.49,0,0.112,0.0372,0.00323,0.257,0.76,169.967,4,afrobeat,21,Happy
1064,0YM62MzsqtMsbCS0E89bvx,Los Amigos Invisibles,Commercial,Sueño Erótico,35,242373,False,0.683,0.823,9,-6.475,1,0.0559,0.138,0.067,0.176,0.837,120.03,4,afrobeat,21,Happy
1067,0VjyKaDsZ29g00cvIywo5t,BaianaSystem,O Futuro Não Demora,Navio,35,339413,False,0.591,0.873,1,-6.877,0,0.111,0.105,0.0181,0.0676,0.882,162.121,4,afrobeat,21,Happy
1083,06yiYlbdcanbh4GJEFyhEj,BaianaSystem;BNegão,OXEAXEEXU,Reza Forte,35,232293,False,0.838,0.914,0,-4.026,0,0.124,0.378,0.00398,0.0979,0.855,146.0,4,afrobeat,21,Happy
1084,0uWCzZzI1A2yxreko4iEib,Plastilina Mosh,Tasty + B Sides,Human Disco Ball,35,214960,False,0.797,0.99,11,-8.001,0,0.0458,0.000375,0.419,0.0333,0.926,125.023,4,afrobeat,21,Happy
1108,2rrptPZG55VZPKE2LzLFsO,Los Amigos Invisibles,El Paradise,Eres Mis Ganas,35,315600,False,0.562,0.876,5,-4.999,0,0.0356,0.00127,0.00513,0.265,0.547,124.003,4,afrobeat,20,Happy
1062,3dCA1AG1JPlF848jihvVsE,Plastilina Mosh,Hola Chicuelos,Oxidados,35,148000,False,0.483,0.994,4,-6.676,0,0.0762,0.000444,0.765,0.057,0.702,182.051,4,afrobeat,19,Happy
1135,49NyAaqgD1KExP3L9IgqT8,Plastilina Mosh,Aquamosh,Niño Bomba,35,223666,False,0.73,0.775,1,-8.161,1,0.0372,0.000472,0.00188,0.0833,0.491,107.153,4,afrobeat,19,Happy
1061,6SdaB4qWrwFG5goKg3NbVj,BaianaSystem,Forasteiro,Forasteiro,35,210373,False,0.685,0.732,9,-8.589,0,0.0322,0.00506,0.778,0.064,0.856,127.999,4,afrobeat,18,Happy
1068,7zMJ0Pgmv9Jcx1skiTp3RV,Criolo,Ainda Há Tempo,No Sapatinho,35,303120,False,0.702,0.689,4,-6.112,0,0.221,0.152,0.0,0.0878,0.242,84.063,4,afrobeat,18,Happy
1127,3TcfOu4zC7qIXJEz30egWs,Plastilina Mosh,Aquamosh,Bungaloo Punta Cometa,35,239920,False,0.744,0.771,6,-9.034,0,0.0892,0.608,0.052,0.103,0.661,149.822,4,afrobeat,18,Happy
1079,31P1OdwMwFh8b6kGjdLUZV,Criolo,Viva Tim Maia,Chocolate,34,181013,False,0.759,0.79,11,-4.355,0,0.0656,0.264,3.91e-05,0.0707,0.914,135.953,4,afrobeat,21,Happy
1078,0YLkH00Doh7W1IEEo9BA71,Juanafé,La Makinita,La Bala,34,213680,False,0.6,0.826,2,-5.654,1,0.0476,0.0555,0.0,0.0835,0.77,98.046,4,afrobeat,20,Happy
1104,7CJkTdcKr5NSlgSBAKTTD5,BaianaSystem;Orquestra Afrosinfônica;Antonio Carlos & Jocafi,Água (Versão Estendida),Água (Versão Estendida),34,306750,False,0.74,0.8,7,-6.65,0,0.0422,0.211,0.0969,0.11,0.763,96.998,4,afrobeat,20,Happy
1072,2MwJYrmAqLPOxd3pSLNdYb,BaianaSystem;Samba de Lata de Tijuaçú,O Futuro Não Demora,Redoma,34,156733,False,0.779,0.918,0,-6.912,1,0.268,0.126,4.61e-05,0.701,0.391,100.041,4,afrobeat,19,Happy
1075,16qGlEtbDQW4IFcRsIjmwm,BaianaSystem;VANDAL,O Futuro Não Demora,CertoPeloCertoh,34,165160,False,0.726,0.72,6,-6.841,1,0.31,0.327,0.0,0.287,0.874,149.995,4,afrobeat,19,Happy
1096,3MZm4t1kRJ2e5JyaYQpjrF,Jackie Mittoo,The Keyboard King at Studio One,Black Organ,34,191506,False,0.837,0.598,1,-9.047,0,0.181,0.391,0.238,0.0598,0.983,145.219,4,afrobeat,19,Happy
1066,3HPfcQxliHRPkDZPFHH0JE,Criolo,Povo Guerreiro,Povo Guerreiro,34,219071,False,0.793,0.658,2,-6.332,1,0.0552,0.652,1.11e-06,0.082,0.96,114.039,4,afrobeat,18,Happy
1076,5vilhku7KUCbRlog1d0lBy,Mandrill,Just Outside Of Town,Fat City Strut,34,199360,False,0.422,0.862,7,-6.534,0,0.153,0.602,0.00904,0.294,0.826,80.526,3,afrobeat,18,Happy
1090,19Oj8jiVAn3qRr0DhlLU1j,Criolo;Emicida,Criolo E Emicida Ao Vivo (Live),Triunfo - Live,34,273426,False,0.54,0.945,1,-5.021,1,0.271,0.315,0.0,0.405,0.551,92.013,4,afrobeat,18,Happy
1106,2oOMI7Jf9Lo2801cgqepQf,Los Amigos Invisibles;Ferraz,Cool Love,Sólo los dos (feat. Ferraz),34,210870,False,0.806,0.573,6,-9.905,0,0.0557,0.317,0.125,0.149,0.696,104.994,4,afrobeat,18,Happy
